cell,birth time
ADFL,294.3396
ADFR,293.4744
ADLL,303.7736
ADLR,306.1728
AFDL,314.1509
AFDR,313.2275
ALML,453.4271
ALMR,449.0334
ASEL,358.4906
ASER,358.3774
ASGL,325.6637
ASGR,321.6931
ASHL,307.0381
ASHR,315.0
ASIL,412.0354
ASIR,409.1711
ASJL,361.3208
ASJR,359.7884
ASKL,393.3962
ASKR,393.6508
AUAL,360.3774
AUAR,359.7884
AWAL,325.6637
AWAR,321.6931
AWBL,294.3396
AWBR,293.4744
AWCL,305.2786
AWCR,306.5625
BAGL,305.0
BAGR,310.1504
DVA,296.25
FLPL,443.1858
FLPR,438.8007
IL2DL,291.0053
IL2DR,293.6508
IL2L,298.06
IL2R,305.9965
IL2VL,297.1698
IL2VR,303.5714
OLLL,420.7547
OLLR,414.8148
OLQDL,417.9894
OLQDR,415.3439
OLQVL,423.1672
OLQVR,426.5625
SAADL,308.4906
SAADR,310.1504
SAAVL,305.2786
SAAVR,307.5
URBL,305.8407
URBR,306.1728
URXL,402.1239
URXR,396.3093
URYDL,295.4145
URYDR,296.2963
URYVL,307.0381
URYVR,306.5625
ADAL,438.9381
ADAR,438.8007
AIAL,316.7155
AIAR,320.625
AIBL,295.0
AIBR,306.1728
AINL,342.1517
AINR,340.388
AIYL,315.8358
AIYR,318.75
AIZL,443.1858
AIZR,438.8007
AVAL,312.2642
AVAR,311.2875
AVBL,318.4751
AVBR,314.0625
AVDL,298.9418
AVDR,300.7055
AVEL,325.4717
AVER,328.7478
AVJL,299.8236
AVJR,302.4691
BDUL,451.6696
BDUR,449.0334
PVCL,448.6804
PVCR,450.0
PVPL,306.1584
PVPR,310.3125
PVR,253.0756
PVT,301.7595
RIAL,332.4515
RIAR,326.2787
RIBL,307.0381
RIBR,315.9375
RIFL,426.6862
RIFR,430.3125
RIGL,321.9941
RIGR,324.375
RIH,301.875
RIML,322.8739
RIMR,331.875
RIPL,301.8868
RIPR,316.7293
RIR,309.375
IL1DL,407.4074
IL1DR,403.8801
IL1L,405.6437
IL1R,424.1623
IL1VL,420.7547
IL1VR,417.2932
RIVL,318.4751
RIVR,311.25
RMDDL,300.0
RMDDR,306.391
RMDL,314.1509
RMDR,313.2275
RMDVL,312.2642
RMDVR,310.1504
RMED,315.6966
RMEL,326.2787
RMER,327.1605
RMEV,278.0059
SIADL,314.956
SIADR,315.0
SIAVL,306.1584
SIAVR,309.375
SIBDL,311.437
SIBDR,315.9375
SIBVL,314.956
SIBVR,315.0
SMBDL,409.434
SMBDR,414.4737
SMBVL,314.1509
SMBVR,315.7895
SMDDL,315.8358
SMDDR,318.75
SMDVL,305.0
SMDVR,310.1504
URADL,336.9912
URADR,335.6766
URAVL,316.7155
URAVR,325.3125
ADEL,438.9381
ADER,440.2116
AIML,295.6012
AIMR,309.375
ALA,315.6966
AVHL,347.4427
AVHR,342.1517
AVKL,301.7595
AVKR,303.75
CEPDL,399.292
CEPDR,396.3093
CEPVL,414.3695
CEPVR,421.875
DVC,350.6151
PVQL,329.9115
PVQR,328.7478
RICL,419.6481
RICR,429.375
RID,352.7337
RIS,303.75
RMGL,320.0
RMGR,317.4603
AVL,300.9375
ALNL,502.6549
ALNR,495.2381
AQR,1280.0
SDQR,1400.0
RMHL,1590.5882
RMHR,1583.5294
AVM,1400.0
SDQL,1407.0588
RMFL,2324.7059
AVFL,1676.1905
AVFR,1676.1905
RMFR,2324.7059
PLNL,1624.6696
PLNR,1624.6696
HSNL,420.531
HSNR,411.9929
PVNL,2100.4405
PVNR,2100.4405
BWM-DL01,250.0
BWM-DL02,240.0
BWM-DL03,260.0
BWM-DL04,250.0
BWM-DL05,260.0
BWM-DL06,260.0
BWM-DL07,340.0
BWM-DL08,275.0
BWM-DR01,250.0
BWM-DR02,240.0
BWM-DR03,260.0
BWM-DR04,250.0
BWM-DR05,260.0
BWM-DR06,260.0
BWM-DR07,340.0
BWM-DR08,275.0
BWM-VL01,270.0
BWM-VL02,240.0
BWM-VL03,278.0
BWM-VL04,260.0
BWM-VL05,278.0
BWM-VL06,275.0
BWM-VL07,340.0
BWM-VL08,270.0
BWM-VR01,270.0
BWM-VR02,240.0
BWM-VR03,277.0
BWM-VR04,260.0
BWM-VR05,277.0
BWM-VR06,275.0
BWM-VR07,345.0
BWM-VR08,270.0
CANR,290.0
CEPshVL,305.0
CEPshVR,310.0
CEPshDR,315.0
CEPshDL,320.0
GLRDL,350.0
GLRDR,350.0
GLRL,370.0
GLRR,370.0
GLRVL,370.0
GLRVR,370.0
